namaste_code,namaste_system,icd_code,relationship
SN71 (FA-3),ayurveda,SN71,equivalent
SN91 (FA-4),ayurveda,SN91,equivalent
FA-6 (SK50),ayurveda,SK50,equivalent
FA-7 (SP9Y),ayurveda,SP9Y,equivalent
SM1M (GA-1),ayurveda,SM1M,equivalent
SM1K  (GA-2),ayurveda,SM1K,equivalent
SM1L (GA-3),ayurveda,SM1L,equivalent
GA-8 (SM1K),ayurveda,SM1K,equivalent
GA-8 (SM1K),ayurveda,SM1K,equivalent
GA-10 (SM1Y),ayurveda,SM1Y,equivalent
GB-1 (SM1Y),ayurveda,SM1Y,equivalent
GB-2 (SM1Y),ayurveda,SM1Y,equivalent
SM13 (GB-3),ayurveda,SM13,equivalent
GB-4 (SM11),ayurveda,SM11,equivalent
GB-5 (SM11),ayurveda,SM11,equivalent
SM1B (GB-6),ayurveda,SM1B,equivalent
SM14 (GB-7),ayurveda,SM14,equivalent
GB-10 (SM1Y),ayurveda,SM1Y,equivalent
GB-11 (SM1Y),ayurveda,SM1Y,equivalent
GB-12 (SM1E),ayurveda,SM1E,equivalent
SM1A (GC-1),ayurveda,SM1A,equivalent
SM1E (GC-2),ayurveda,SM1E,equivalent
SM1J (GC-3),ayurveda,SM1J,equivalent
SM1F (GC-5),ayurveda,SM1F,equivalent
GC-6 (SM1E),ayurveda,SM1E,equivalent
SM1G (GC-7),ayurveda,SM1G,equivalent
SM1H (GC-9),ayurveda,SM1H,equivalent
SM11 (GC-10),ayurveda,SM11,equivalent
GD-4 (SM1Y),ayurveda,SM1Y,equivalent
SM1C  (GD-5),ayurveda,SM1C,equivalent
GD-6 (SP9Y),ayurveda,SP9Y,equivalent
SM18 (GE-1),ayurveda,SM18,equivalent
SM19 (GE-2),ayurveda,SM19,equivalent
SL06 (GE-3),ayurveda,SL06,equivalent
SM17 (GE-4),ayurveda,SM17,equivalent
GE-6 (SM1Y),ayurveda,SM1Y,equivalent
GE-8 (SM1Y),ayurveda,SM1Y,equivalent
GE-11 (SM1Y),ayurveda,SM1Y,equivalent
GE-11 (SM1Y),ayurveda,SM1Y,equivalent
GE-12 (SP9Y),ayurveda,SP9Y,equivalent
SL04 (GF-1),ayurveda,SL04,equivalent
SK9A (GF-2),ayurveda,SK9A,equivalent
GF-3 (SL00),ayurveda,SL00,equivalent
SL05 (GF-4),ayurveda,SL05,equivalent
SL01 (GF-7),ayurveda,SL01,equivalent
GF-9 (SL0Y),ayurveda,SL0Y,equivalent
GF-10 (SL05),ayurveda,SL05,equivalent
GF-11 (SL03),ayurveda,SL03,equivalent
GF-12 (SL00),ayurveda,SL00,equivalent
GF-13 (SL0Y),ayurveda,SL0Y,equivalent
SM00 (GF-14),ayurveda,SM00,equivalent
SL00 (GF-15),ayurveda,SL00,equivalent
GF-16 (SL2Y),ayurveda,SL2Y,equivalent
SL08 (GF-17),ayurveda,SL08,equivalent
GF-18 (SL08),ayurveda,SL08,equivalent
GF-19 (SL0Y),ayurveda,SL0Y,equivalent
GG (SM1Y),ayurveda,SM1Y,equivalent
SK68 (HA-1),ayurveda,SK68,equivalent
HA-2 (SK7Y),ayurveda,SK7Y,equivalent
SK6D (HA-3),ayurveda,SK6D,equivalent
HA-4 (SK66),ayurveda,SK66,equivalent
HA-5 (SK7Y),ayurveda,SK7Y,equivalent
HA-6 (SK62 ),ayurveda,SK62,equivalent
HB-1 (SK7Y),ayurveda,SK7Y,equivalent
SK69 (HB-2),ayurveda,SK69,equivalent
SK6U (HB-3),ayurveda,SK6U,equivalent
HB-5 (SK6U),ayurveda,SK6U,equivalent
SK6P (HB-7),ayurveda,SK6P,equivalent
HB-8 (SK7Y),ayurveda,SK7Y,equivalent
SK62 (HB-9),ayurveda,SK62,equivalent
HB-10 (SK7Y),ayurveda,SK7Y,equivalent
HB-11 (SK7Y),ayurveda,SK7Y,equivalent
SK6K (HB-12),ayurveda,SK6K,equivalent
HB-14 (SK66),ayurveda,SK66,equivalent
HB-15 (SK7Y),ayurveda,SK7Y,equivalent
SK6F (HB-16),ayurveda,SK6F,equivalent
SK6J (HB-17),ayurveda,SK6J,equivalent
SK6H (HB-18),ayurveda,SK6H,equivalent
SK6N (HB-19),ayurveda,SK6N,equivalent
HB-21 (SK7Y),ayurveda,SK7Y,equivalent
HB-23 (SK7Y),ayurveda,SK7Y,equivalent
HB-24 (SK7Y),ayurveda,SK7Y,equivalent
SK6M (HB-25),ayurveda,SK6M,equivalent
HB-26 (SK7Y),ayurveda,SK7Y,equivalent
HB-26 (SK7Y),ayurveda,SK7Y,equivalent
SK6E (HC-1),ayurveda,SK6E,equivalent
SK6E (HC-1),ayurveda,SK6E,equivalent
SK6Q (HC-2),ayurveda,SK6Q,equivalent
SK6C (HD-1),ayurveda,SK6C,equivalent
HD-2 (SK6C),ayurveda,SK6C,equivalent
HD-3 (SK6C),ayurveda,SK6C,equivalent
HD-3 (SK6C),ayurveda,SK6C,equivalent
HD-4 (SK7Y),ayurveda,SK7Y,equivalent
HD-5 (SK66),ayurveda,SK66,equivalent
HD-8 (SK7Y),ayurveda,SK7Y,equivalent
SK6T (HD-10),ayurveda,SK6T,equivalent
SK6T (HD-10),ayurveda,SK6T,equivalent
SK67 (HE),ayurveda,SK67,equivalent
HE-1 (SK67),ayurveda,SK67,equivalent
SK6V (HE-2),ayurveda,SK6V,equivalent
HE-3 (SK67),ayurveda,SK67,equivalent
HE-5 (SK7Y),ayurveda,SK7Y,equivalent
SK66 (HF-1),ayurveda,SK66,equivalent
SK6W (HF-3),ayurveda,SK6W,equivalent
SK6R (HF-4),ayurveda,SK6R,equivalent
SK6X (HF-5),ayurveda,SK6X,equivalent
HF-6 (SK7Y),ayurveda,SK7Y,equivalent
SK6A (HF-7),ayurveda,SK6A,equivalent
HF-8 (SK7Y),ayurveda,SK7Y,equivalent
HF-9 (SK7Y),ayurveda,SK7Y,equivalent
HF-9 (SK7Y),ayurveda,SK7Y,equivalent
HF-10 (SK60 ),ayurveda,SK60,equivalent
SK60 (HF-11),ayurveda,SK60,equivalent
SK60 (HF-11),ayurveda,SK60,equivalent
HG-1 (SK65),ayurveda,SK65,equivalent
SK65 (HG-2),ayurveda,SK65,equivalent
HG-2.4 (SK65),ayurveda,SK65,equivalent
HG-2.5 (SK65),ayurveda,SK65,equivalent
HG-3 (SK7Y),ayurveda,SK7Y,equivalent
SK63 (HG-4),ayurveda,SK63,equivalent
SK63 (HG-4),ayurveda,SK63,equivalent
HG-7 (SK7Y),ayurveda,SK7Y,equivalent
HG-7 (SK7Y),ayurveda,SK7Y,equivalent
HG-8 (SK7Y),ayurveda,SK7Y,equivalent
HG-8 (SK7Y),ayurveda,SK7Y,equivalent
HG-9 (SK7Y),ayurveda,SK7Y,equivalent
HG-10 (SK7Y),ayurveda,SK7Y,equivalent
HG-11 (SK7Y),ayurveda,SK7Y,equivalent
HG-12 (SK7Y),ayurveda,SK7Y,equivalent
SK95 (I-1),ayurveda,SK95,equivalent
SK95 (I-1),ayurveda,SK95,equivalent
SL20 (I-2),ayurveda,SL20,equivalent
SK93 (I-3),ayurveda,SK93,equivalent
SK97 (I-4),ayurveda,SK97,equivalent
SK97 (I-4),ayurveda,SK97,equivalent
SK96 (I-5),ayurveda,SK96,equivalent
SK96 (I-5),ayurveda,SK96,equivalent
I-6 (SK95),ayurveda,SK95,equivalent
I-7 (SK95),ayurveda,SK95,equivalent
I-7 (SK95),ayurveda,SK95,equivalent
I-8 (SK9Y),ayurveda,SK9Y,equivalent
I-9 (SK9Y),ayurveda,SK9Y,equivalent
I-10 (SK95),ayurveda,SK95,equivalent
I-10 (SK95),ayurveda,SK95,equivalent
SK98 (I-11),ayurveda,SK98,equivalent
I-13 (SK9Y),ayurveda,SK9Y,equivalent
I-14 (SK96),ayurveda,SK96,equivalent
SK90 (I-15),ayurveda,SK90,equivalent
SK94 (I-16),ayurveda,SK94,equivalent
SK92 (I-17),ayurveda,SK92,equivalent
I-18 (SL20),ayurveda,SL20,equivalent
J-1 (SK8Y),ayurveda,SK8Y,equivalent
J-1 (SK8Y),ayurveda,SK8Y,equivalent
J-2 (SK8Y),ayurveda,SK8Y,equivalent
J-3 (SK8Y),ayurveda,SK8Y,equivalent
J-4 (SK8Y),ayurveda,SK8Y,equivalent
J-4 (SK8Y),ayurveda,SK8Y,equivalent
J-5 (SK8Y),ayurveda,SK8Y,equivalent
J-5 (SK8Y),ayurveda,SK8Y,equivalent
SK83 (J-6),ayurveda,SK83,equivalent
J-7 (SK86),ayurveda,SK86,equivalent
SK85 (J-8),ayurveda,SK85,equivalent
SK86 (J-9),ayurveda,SK86,equivalent
SK86 (J-9),ayurveda,SK86,equivalent
J-10 (SK88),ayurveda,SK88,equivalent
J-11 (SK8Y),ayurveda,SK8Y,equivalent
SK80 (J-12),ayurveda,SK80,equivalent
SK88 (J-13),ayurveda,SK88,equivalent
SK88 (J-13),ayurveda,SK88,equivalent
SK82 (J-14),ayurveda,SK82,equivalent
J-15 (SK8Y),ayurveda,SK8Y,equivalent
J-16 (SK8Y),ayurveda,SK8Y,equivalent
J-17 (SK8Y),ayurveda,SK8Y,equivalent
J-18 (SK88),ayurveda,SK88,equivalent
SK81 (J-19),ayurveda,SK81,equivalent
SK87 (J-20),ayurveda,SK87,equivalent
JA-1 (SK8Y),ayurveda,SK8Y,equivalent
JA-5 (SK8Y),ayurveda,SK8Y,equivalent
SK89 (JA-6),ayurveda,SK89,equivalent
JA-9 (SK8Y),ayurveda,SK8Y,equivalent
SN4W (K),ayurveda,SN4W,equivalent
SP5A (KA),ayurveda,SP5A,equivalent
K-1 (SN9Y),ayurveda,SN9Y,equivalent
SL71 (K-12),ayurveda,SL71,equivalent
K-14 (SN9Y),ayurveda,SN9Y,equivalent
K-15,ayurveda,SK30,equivalent
ST20(LD),ayurveda,ST20,equivalent
LD-14,ayurveda,SM01,equivalent
LF-1 (SN9Y),ayurveda,SN9Y,equivalent
MA (SN1Y),ayurveda,SN1Y,equivalent
SR03 (MB-2),ayurveda,SR03,equivalent
MD-1 (SM1Y),ayurveda,SM1Y,equivalent
MD-1 (SM1Y),ayurveda,SM1Y,equivalent
SM12 (MD-2),ayurveda,SM12,equivalent
SM16 (MD-6),ayurveda,SM16,equivalent
SM16 (MD-6),ayurveda,SM16,equivalent
SM54 (MD-7),ayurveda,SM54,equivalent
SM54 (MD-7),ayurveda,SM54,equivalent
MD-8 (SK50),ayurveda,SK50,equivalent
MD-9 (SK9A),ayurveda,SK9A,equivalent
SR05 (MD-10),ayurveda,SR05,equivalent
SP9A (MD-11),ayurveda,SP9A,equivalent
SR00 (MD-12),ayurveda,SR00,equivalent
SR01 (MD-13),ayurveda,SR01,equivalent
SR04 (MD-14),ayurveda,SR04,equivalent
MD-16 (SN5Y),ayurveda,SN5Y,equivalent
MD-17 (SR0Y),ayurveda,SR0Y,equivalent
SM73 (MD-18),ayurveda,SM73,equivalent
MD-20 (SM0Y),ayurveda,SM0Y,equivalent
MD-21 (SN3Y),ayurveda,SN3Y,equivalent
MD-22,ayurveda,SK22,equivalent
SQ50 (N),ayurveda,SQ50,equivalent
SQ50 (N),ayurveda,SQ50,equivalent
NB-2.2 (SM3Y),ayurveda,SM3Y,equivalent
NB-3 (SQ50),ayurveda,SQ50,equivalent
O-2 (SN5Y),ayurveda,SN5Y,equivalent
O-3 (SP9Y),ayurveda,SP9Y,equivalent
O-5 (SN0Y),ayurveda,SN0Y,equivalent
SN48 (O-6),ayurveda,SM1Y,equivalent
SN70 (O-7),ayurveda,SN70,equivalent
O-8 (SN5Y),ayurveda,SN5Y,equivalent
O-9 (SN5Y),ayurveda,SN5Y,equivalent
SN4L (O-10),ayurveda,SN4L,equivalent
O-11 (SN5Y),ayurveda,SN5Y,equivalent
SN4T (O-12),ayurveda,SN4T,equivalent
O-13 (SN9Y),ayurveda,SN9Y,equivalent
O-14 (SN9Y),ayurveda,SN9Y,equivalent
O-15 (SN6Y),ayurveda,SN6Y,equivalent
O-17 (SN5Y),ayurveda,SN5Y,equivalent
SM55 (O-18),ayurveda,SM55,equivalent
SN4S (O-19),ayurveda,SN4S,equivalent
SN4F (O-21),ayurveda,SN4F,equivalent
O-22 (SM0Y),ayurveda,SM0Y,equivalent
SN4E (O-23),ayurveda,SN4E,equivalent
SN4E (O-23),ayurveda,SN4E,equivalent
O-24 (SN5Y),ayurveda,SN5Y,equivalent
SN0A (O-25),ayurveda,SN0A,equivalent
O-26 (SN41),ayurveda,SN41,equivalent
SK54 (O-28),ayurveda,SK54,equivalent
O-29 (SN5Y),ayurveda,SN5Y,equivalent
O-30 (SN0A),ayurveda,SN0A,equivalent
SM1D (O-32),ayurveda,SM1D,equivalent
O-33,ayurveda,SN4H,equivalent
O-34 (SN5Y),ayurveda,SN5Y,equivalent
SN4V (O-35),ayurveda,SN4V,equivalent
SN4N (O-36),ayurveda,SN4N,equivalent
O-37 (SN5Y),ayurveda,SN5Y,equivalent
SN40 (O-38),ayurveda,SN40,equivalent
SN90 (O-39),ayurveda,SN90,equivalent
O-40 (SN5Y),ayurveda,SN5Y,equivalent
O-41 (SN5Y),ayurveda,SN5Y,equivalent
SN4G (O-42),ayurveda,SN4G,equivalent
O-43 (SP9Y),ayurveda,SP9Y,equivalent
O-44 (SN5Y),ayurveda,SM9A,equivalent
O-45 (SN5Y),ayurveda,SN5Y,equivalent
SN4P (O-46),ayurveda,SN4P,equivalent
O-47 (SN40),ayurveda,SN40,equivalent
O-48 (SP71),ayurveda,SP71,equivalent
O-49 (SM5Y),ayurveda,SM5Y,equivalent
O-50 (SN5Y),ayurveda,SN5Y,equivalent
O-51,ayurveda,SP96,equivalent
SM3H (O-52),ayurveda,SM3H,equivalent
O-53 (SP9Y),ayurveda,SP9Y,equivalent
P,ayurveda,SQ6Y,equivalent
PC (SQ6Y),ayurveda,SQ6Y,equivalent
PC-9 (SQ6Y),ayurveda,SQ6Y,equivalent
PE (SQ6Y),ayurveda,SQ6Y,equivalent
SQ60 (PE-1.17),ayurveda,SQ60,equivalent
SQ61 (PE-4.8),ayurveda,SQ61,equivalent
BCA,siddha,SP9Y,equivalent
SQ80 (Q-1),ayurveda,SQ80,equivalent
Q-4 (SQ2Y),ayurveda,SQ2Y,equivalent
Q-7 (SQ2Y),ayurveda,SQ2Y,equivalent
Q-8 (SQ2Y),ayurveda,SQ2Y,equivalent
Q-9 (SQ2Y),ayurveda,SQ2Y,equivalent
Q-11 (SQ2Y),ayurveda,SQ2Y,equivalent
Q-12 (SQ2Y),ayurveda,SQ2Y,equivalent
R (SQ8Y),ayurveda,SQ8Y,equivalent
SQ24 (RA-1),ayurveda,SQ24,equivalent
SQ24 (RA-1),ayurveda,SQ24,equivalent
RA-2 (SQ2Y),ayurveda,SQ2Y,equivalent
RA-4 (SQ2Y),ayurveda,SQ2Y,equivalent
RB (SQ8Y),ayurveda,SQ8Y,equivalent
RB-1 (SQ8Y),ayurveda,SQ8Y,equivalent
SS2E (RD-1),ayurveda,SS2E,equivalent
SS28 (RD-2),ayurveda,SS28,equivalent
SS29 (RD-3),ayurveda,SS29,equivalent
SS21 (RD-5),ayurveda,SS21,equivalent
SS27 (RD-6),ayurveda,SS27,equivalent
SS25 (RD-7),ayurveda,SS25,equivalent
SS26 (RD-8),ayurveda,SS26,equivalent
SS2A (RD-9),ayurveda,SS2A,equivalent
SS2B (RD-10),ayurveda,SS2B,equivalent
SS23 (RD-11),ayurveda,SS23,equivalent
SS2D (RD-12),ayurveda,SS2D,equivalent
SS2C (RD-14),ayurveda,SS2C,equivalent
RE-2 (SN3Y),ayurveda,SN3Y,equivalent
RF (SQ8Y),ayurveda,SQ8Y,equivalent
RF-1 (SQ8Y),ayurveda,SQ8Y,equivalent
RF-1 (SQ8Y),ayurveda,SQ8Y,equivalent
RF-2 (SQ8Y),ayurveda,SQ8Y,equivalent
SS50 (VA-1),ayurveda,SS50,equivalent
SS51 (VA-2),ayurveda,SS51,equivalent
SS52 (VA-3),ayurveda,SS52,equivalent
SS53 (VA-4),ayurveda,SS53,equivalent
SS54 (VA-5),ayurveda,SS54,equivalent
SS55 (VA-6),ayurveda,SS55,equivalent
SS56  (VA-7),ayurveda,SS56,equivalent
SS56  (VA-7),ayurveda,SS56,equivalent
VE-2 (SS61),ayurveda,SS61,equivalent
VE-3 (SS62),ayurveda,SS62,equivalent
VE-3.3 (SS62),ayurveda,SS62,equivalent
VF-2,ayurveda,SS82,equivalent
