namaste_code,namaste_system,icd_code,relationship
AAD-2.5(SR20),ayurveda,SR20,equivalent
AAD-2.6(SR20),ayurveda,SR20,equivalent
AAD-2.7(SR20),ayurveda,SR20,equivalent
AAD-2.8(SR20),ayurveda,SR20,equivalent
AAD-2.9(SR20),ayurveda,SR20,equivalent
AAD-2.10(SR20),ayurveda,SR20,equivalent
AAD-2.11(SR20),ayurveda,SR20,equivalent
AAD-2.12(SR20),ayurveda,SR20,equivalent
AAD-3.1(SR20),ayurveda,SR20,equivalent
AAD-3.2(SR20),ayurveda,SR20,equivalent
AAD-3.3(SR20),ayurveda,SR20,equivalent
AAD-3.4(SR20),ayurveda,SR20,equivalent
AAD-3.5(SR20),ayurveda,SR20,equivalent
AAD-3.6(SR20),ayurveda,SR20,equivalent
AAD-3.7(SR20),ayurveda,SR20,equivalent
AAD-4(SR20),ayurveda,SR20,equivalent
AAD-4.1(SR20),ayurveda,SR20,equivalent
AAD-5(SR20),ayurveda,SR20,equivalent
SP12(AAE-16),ayurveda,SP12,equivalent
SR16(ABA-1),ayurveda,SR16,equivalent
SR17(ABA-2),ayurveda,SR17,equivalent
SR15(ABA-2.1),ayurveda,SR15,equivalent
SR18(ABA-3),ayurveda,SR18,equivalent
SR19(ABA-4),ayurveda,SR19,equivalent
ABB-1(SK7Y),ayurveda,SK7Y,equivalent
SN44(ABB-2),ayurveda,SN44,equivalent
ABB-3(SP9Y),ayurveda,SP9Y,equivalent
ABB-5(SM7Y),ayurveda,SM7Y,equivalent
ABB-6(SM7Y),ayurveda,SM7Y,equivalent
ABB-7(SM3Y),ayurveda,SM3Y,equivalent
ABB-8(SP9Y),ayurveda,SP9Y,equivalent
SM10(ABB-9),ayurveda,SM10,equivalent
SM10(ABB-9),ayurveda,SM10,equivalent
ABB-10(SP9Y),ayurveda,SP9Y,equivalent
ABB-11(SP9Y),ayurveda,SP9Y,equivalent
ABB-21(SP9Y),ayurveda,SP9Y,equivalent
ABB-22(SP9Y),ayurveda,SP9Y,equivalent
ABB-23(SP9Y),ayurveda,SP9Y,equivalent
ABB-24(SP9Y),ayurveda,SP9Y,equivalent
SM15(ABB-27),ayurveda,SM15,equivalent
ABB-28(SP9Y),ayurveda,SP9Y,equivalent
ABB-29(SP2Y),ayurveda,SP2Y,equivalent
ABB-30(SP9Y),ayurveda,SP9Y,equivalent
SN00(ABB-31),ayurveda,SN00,equivalent
ABB-35(SN5Y),ayurveda,SN5Y,equivalent
ABB-37(SP9Y),ayurveda,SP9Y,equivalent
ABB-45(SN9Y),ayurveda,SN9Y,equivalent
ABB-45(SN9Y),ayurveda,SN9Y,equivalent
SR1B(ACA-1),ayurveda,SR1B,equivalent
SR1C(ACA-2),ayurveda,SR1C,equivalent
SR1A(ACA-2.1),ayurveda,SR1A,equivalent
SR1D(ACA-3),ayurveda,SR1D,equivalent
SR1E(ACA-4),ayurveda,SR1E,equivalent
ACB-2(SM3B),ayurveda,SM3B,equivalent
SP96(ACB-3),ayurveda,SP96,equivalent
ACB-7(SR0Y),ayurveda,SR0Y,equivalent
ACB-14(SP9Y),ayurveda,SP9Y,equivalent
ACB-15(SQ4Y),ayurveda,SQ4Y,equivalent
ACB-16(SM7Y),ayurveda,SM7Y,equivalent
SL72(ACB-17),ayurveda,SL72,equivalent
SQ40(ACB-18),ayurveda,SQ40,equivalent
ACB-21(SM1Y),ayurveda,SM1Y,equivalent
ACB-23(SM3B),ayurveda,SM3B,equivalent
ACB-24(SM7Y),ayurveda,SM7Y,equivalent
ACB-27(SP9Y),ayurveda,SP9Y,equivalent
ACB-28(SL6Y),ayurveda,SL6Y,equivalent
ACB-29(SK5Y),ayurveda,SK5Y,equivalent
SR40(B),ayurveda,SR40,equivalent
SR42(BA-1),ayurveda,SR42,equivalent
SR41(BA-2),ayurveda,SR41,equivalent
SR44(BB-1),ayurveda,SR44,equivalent
SR43(BB-2),ayurveda,SR43,equivalent
SR46(BC-1),ayurveda,SR46,equivalent
SR45(BC-2),ayurveda,SR45,equivalent
SR48(BD-1),ayurveda,SR48,equivalent
SP62(BD-2),ayurveda,SP62,equivalent
SR4A(BE-1),ayurveda,SR4A,equivalent
SR49(BE-2),ayurveda,SR49,equivalent
SR4C(BF-1),ayurveda,SR4C,equivalent
SR4B(BF-2),ayurveda,SR4B,equivalent
SR4E(BG-1),ayurveda,SN03,equivalent
SR4D(BG-2),ayurveda,SR4D,equivalent
SR4D(BG-2),ayurveda,SR4D,equivalent
SR4K(BA-3.1),ayurveda,SR4K,equivalent
SR4J(BA-3.2),ayurveda,SR4J,equivalent
SN10(BA-4.1),ayurveda,SN10,equivalent
SR4L(BA-4.2),ayurveda,SR4L,equivalent
SP93(BH),ayurveda,SP93,equivalent
SR4F(BH-1),ayurveda,SR4F,equivalent
SR4H(BH-2),ayurveda,SR4H,equivalent
SR4G(BH-3),ayurveda,SR4G,equivalent
SP5B (BI),ayurveda,SP5B,equivalent
SN45(CC-2),ayurveda,SN45,equivalent
SR83 (CA-1),ayurveda,SR83,equivalent
SR82(CA-2),ayurveda,SR82,equivalent
SR81 (CB-1),ayurveda,SR81,equivalent
SR80(CB-2),ayurveda,SR80,equivalent
SR86(CB-3),ayurveda,SR86,equivalent
SR85(CC-1),ayurveda,SR85,equivalent
SS10(D),ayurveda,SS10,equivalent
SS15(DA),ayurveda,SS15,equivalent
SS15(DA),ayurveda,SS15,equivalent
SS13(DB-1.1),ayurveda,SS13,equivalent
SS13(DB-1.1),ayurveda,SS13,equivalent
SS11(DB-2),ayurveda,SS11,equivalent
SS12(DB-3),ayurveda,SS12,equivalent
SS14(DB-4),ayurveda,SS14,equivalent
SS14(DB-4),ayurveda,SS14,equivalent
SR5Z€,ayurveda,SR5Z,equivalent
SR57(EA-1),ayurveda,SR57,equivalent
SM74(EA-2),ayurveda,SM74,equivalent
EA-2.2(SM74),ayurveda,SM74,equivalent
EA-2.2(SM74),ayurveda,SM74,equivalent
EA-2.3(SM74),ayurveda,SM74,equivalent
EA-2.4(SM74),ayurveda,SM74,equivalent
EA-2.4(SM74),ayurveda,SM74,equivalent
EA-2.5(SM74),ayurveda,SM74,equivalent
SL41(EA-3),ayurveda,SL41,equivalent
SL42(EA-4),ayurveda,SL42,equivalent
SL40(EA-4.5),ayurveda,SL40,equivalent
EA-4.5.1(SL40),ayurveda,SL40,equivalent
EA-4.5.2(SL40),ayurveda,SL40,equivalent
SL03(EA-5),ayurveda,SL03,equivalent
SR59(EB-1),ayurveda,SR59,equivalent
SM37(EB-2),ayurveda,SM37,equivalent
SM3B(EB-3),ayurveda,SM3B,equivalent
SM76(EB-3.7),ayurveda,SM76,equivalent
EB-3.8(SM34),ayurveda,SM34,equivalent
SM3C(EB-3.9),ayurveda,SM3C,equivalent
SM39(EB-4),ayurveda,SM39,equivalent
EB-4.1(SM39),ayurveda,SM39,equivalent
EB-4.1(SM39),ayurveda,SM39,equivalent
EB-4.2(SM39),ayurveda,SM39,equivalent
EB-4.2(SM39),ayurveda,SM39,equivalent
SM71(EB-5),ayurveda,SM71,equivalent
SM3L(EB-6),ayurveda,SM3L,equivalent
SM3J(EB-6.2),ayurveda,SM3J,equivalent
SM3K(EB-8),ayurveda,SM3K,equivalent
SM38(EB-9),ayurveda,SM38,equivalent
SM72(EB-9.4),ayurveda,SM72,equivalent
SM33(EB-10),ayurveda,SM33,equivalent
SM3F(EB-10.8),ayurveda,SM3F,equivalent
SM3D(EB-10.10),ayurveda,SM3D,equivalent
SM3E(EB-10.11),ayurveda,SM3E,equivalent
SM70(EB-10.15),ayurveda,SM70,equivalent
SM70(EB-10.15),ayurveda,SM70,equivalent
SM70(EB-10.15),ayurveda,SM70,equivalent
SM35(EB-11),ayurveda,SM35,equivalent
SM51(EB-12),ayurveda,SM51,equivalent
SR5A(EB-14),ayurveda,SR5A,equivalent
SL61(EC-2),ayurveda,SL61,equivalent
SP51(EC-3),ayurveda,SP51,equivalent
