namaste_code,name
A-40.1,Ra‘sha Bārid
A-40.2,Ra‘sha Sharābiyya
A-41,Irti‘ād
A-42,Khadar
A-43,Ikhtilāj
B,Amrāḍ-i-‘Ayn
B-1,Ramad/ Āshob-i-Chashm
B-1.1,Ramad Damawī
B-1.2,Ramad Ṣafrāwī
B-1.3,Ramad Balghamī
B-1.4,Ramad Sawdāwī
B-1.5,Ramad Rīḥī
B-1.6,Ramad Buthūrī/ Wadaqa
B-1.7,Ramad Zuhrī
B-1.8,Ramad Thaljī
B-2,Takaddur Ṭabaqa al-Multaḥima
B-3,Sabal
B-3.1,Sabal Raṭb
B-3.2,Sabal Yābis
B-3.3,Sabal Mustaḥkam
B-4,Kumna
B-5,Intifākh
B-5.1,Intifākh Rīḥī
B-5.2,Intifākh Balghamī
B-5.3,Intifākh Mā’ī
B-5.4,Intifākh Sawdāwī
B-6,Bayāḍ al-‘Ayn
B-7,Ẓafara
B-8,Ghudda al-‘Ayn
B-9,Qurūḥ al-‘Ayn
B-10,Qurūḥ al-Multaḥima
B-11,Qurūḥ al-‘Inabiyya
B-12,Qurūḥ al-Qarniyya
B-12.1,Qurūḥ al-Qarniyya Khārijiyya
B-12.2,Qurūḥ al-Qarniyya Dākhiliyya
B-12.3,Qurūḥ al-Qarniyya Dhāt al-‘Urūq
B-13,Buthūr al-Qarniyya
B-14,Dubayla al-Qarniyya
B-15,Saraṭān al-Qarniyya
B-16,Ruṭūba al-Qarniyya
B-17,Yubs al-Qarniyya
B-18,Gharb
B-18.1,Gharb Ghayr Munfajir
B-18.2,Gharb Munfajir
B-19,Khuḍra al-‘Ayn
B-20,Zurqa al-‘Ayn
B-21,Ṭarfa
B-22,Qadhā fi’l ‘Ayn
B-23,Morsarj
B-23.1,Dhubābī
B-23.2,‘Inabī
B-23.3,Tuffāḥī
B-23.4,Mismārī/ Falakī
B-24,Intishār wa Ittisā‘ al-Thuqba
B-25,Ḍīq al-Thuqba
B-26,Nutū’ al-Qarniyya
B-27,Nuzūl al-Mā’
B-27.1,Ghamāmī
B-27.2,Dhi’baqī
B-27.3,Jaṣṣī
B-27.4,Āsmānjūnī
B-27.5,Muntashir
B-28,Mā’ Akhḍar
B-29,Juḥūẓ al-‘Ayn
B-29.1,Juḥūẓ Imtilā’ī
B-29.2,Juḥūẓ Inḍighāṭī
B-29.3,Juḥūẓ Istirkhā’ī
B-30,Sill al-‘Ayn
B-31,Baraṣ al-‘Ayn
B-32,Ḍu‘f al-Baṣar
B-33,Takhayyulāt
B-34,Qaṣr al-Baṣar
B-35,Ṭūl al-Baṣar
B-36,Ḥawal
B-37,Shabkorī/‘Ashā’
B-38,Jahar/ Rozkorī
B-39,Khafash
B-40,Qumūr
B-41,Dhahāb al-Baṣar fi’l Maṭāmīr wa’l Ḥubūs al-Muẓlima
B-42,Bughḍ al-‘Ayn
B-43,Istirkhā’ al-Jafn
B-44,Suqūṭ al-Qazḥiyya
B-45,Iltiṣāq al-Jafn
B-46,Shatra/ Inqilāb al-Jafn
B-46.1,Shatra Dākhiliyya
B-46.2,Shatra Khārijiyya
B-47,Ṣalāba al-Ajfān/ Jus’a al-Ajfān
B-48,Sulāq/ Bāmnī
B-49,Qirdān al-Ajfān
B-50,Bayāḍ al-Hudub
B-51,Dummal al-Ajfān
B-52,Sharā al-Ajfān
B-53,Namla al-Ajfān
B-54,Tha’ālīl al-Ajfān
B-55,Sal‘a al-Ajfān
B-56,Ṭarf al-Ajfān
B-57,Wardīnaj
B-58,Jus’a al-Multaḥim
B-59,Jarab al-‘Ayn
B-59.1,Jarab Munbasiṭ
B-59.2,Jarab Ḥaṣafī
B-59.3,Jarab Tīnī/ Suqūsalīs
B-59.4,Jarab Aswad
B-59.5,Jarab ‘Adasī
B-60,Ḥikka al-Āmāq wa’l Ajfān
B-61,Shirnāq
B-62,Barada
B-63,‘Uqda al-‘Ayn
B-64,Sha‘īra
B-65,‘Arūsa
B-66,Tūtha al-‘Ayn
B-67,Taḥajjur al-Ajfān
B-68,Qurūḥ al-Ajfān
B-69,Tahabbuj al-Ajfān
B-70,Sha‘r Munqalib/ Inqilāb al-Sha‘r
B-71,Sha‘r Zā’id
B-72,Intithār al-Ahdāb
B-73,Qummal al-Ajfān
B-74,Dam‘a
B-75,Buwālatayn
B-76,Inḥiṭaṭ Ṭabaqa al-Shabakiyya wa’l Mashīmiyya
B-77,Taṣallub al-‘Urūq al-Shabakiyya
B-78,Infiṣāl al-Shabakiyya
C,"Amrāḍ-i-Udhun, Anf wa Ḥalaq"
C-1,Waja‘ al-Udhun
C-2,Ṭarash
C-3,Waqr
C-4,Ṣamam/Lādī
C-5,Ṭanīn-o-Dawī
C-6,Infijār al-Dam mina’l Udhun
C-7,Dīdān al-Udhun
C-8,Iltihāb al-Udhun
C-9,Sayalān al-Udhun
C-10,Ḥikka al-Udhun
C-11,Inkisār al-Udhun
C-12,Inqilā‘ al-Udhun
C-13,Qulā‘ al-Udhun
C-14,Harb al-Udhun
C-15,Sudda al-Udhun
C-16,Wasakh al-Udhun
C-17,Buthūr al-Udhun
C-18,Qurūḥ al-Udhun
C-19,Qadhā fi’l Udhun
C-20,Waram Aṣl al-Udhun/ Waram-i-Ghudda-i-Nakaf
C-21,Nazla-o-Zukām
C-22,Nazla Udhuniyya
C-23,Khasham
C-24,Fasād al-Shamm
C-25,Buthūr al-Anf
C-26,Qurūḥ al-Anf
C-27,Ḥikka al-Anf
C-28,Dīdān al-Anf
C-29,Bakhr al-Anf/ Natn al-Anf
C-30,Raḍḍ al-Anf
C-31,Ru‘āf
C-32,Bawāsīr al-Anf/ Urbiyān al-Anf
C-33,‘Uṭās
C-34,Qadhā al-Anf
C-35,Jafāf al-Anf
C-36,Zukām
C-37,Inḥirāf Fāṣil al-Mankharayn
C-38,Anfī Besh Ḥassāsiyat
C-39,Iltihāb al-Anf
C-39.1,Iltihāb al-Anf Ḥādd
C-39.2,Iltihāb al-Anf Muzmin
C-39.3,Iltihāb al-Anf Ḍumūrī
C-39.4,Iltihāb al-Anf Takaththurī
C-40,Iltihāb-i-Tajāwīf al-Anf
C-41,Sudda-i-Khayshūm
C-42,Waram al-Lisān
C-43,Ḥurqa al-Lisān
C-44,Ḥikka al-Lisān
C-45,Taqashshur al-Lisān
C-46,Istirkhā’ al-Lisān
C-47,Buṭlān al-Dhawq
C-48,Fasād al-Dhawq
C-49,‘Iẓam al-Lisān
C-50,Thiql al-Lisān
C-51,Ḍifda‘ al-Lisān
C-52,Shuqāq al-Lisān
C-53,Qulā‘
C-53.1,Qulā‘ Damawī
C-53.2,Qulā‘ Ṣafrāwī
C-53.3,Qulā‘ Balghamī
C-53.4,Qulā‘ Sawdāwī
C-53.5,Qulā‘-i-Ṣibyān
C-54,Dā’ al-Ḥafr/ Ḥafr al-Asnān wa’l Qalḥ
C-55,Dal‘ al-Lisān
C-56,Jafāf-i-Lisān
C-57,Buthūr al-Fam
C-58,Ākila al-Fam
C-59,Kathra al-Lu‘āb
C-60,Bakhr al-Fam
C-61,Waram al-Ḥanak
C-62,Ḥikka al-Ḥanak
C-63,Waram al-Shafatayn
C-64,Buthūr al-Shafatayn
C-65,Qurūḥ al-Shafatayn
C-66,Bawāsīr al-Shafatayn
C-67,Bayāḍ al-Shafatayn
C-68,Ikhtilāj al-Shafatayn
C-69,Taqashshur al-Shafatayn
C-70,Taqalluṣ al-Shafatayn
C-71,Tashaqquq al-Shafatayn/ Shaqūq al-Shafatayn
C-72,Iltihāb al-Fam Buthūrī
C-73,Iltihāb al-Fam Qurūḥī
C-74,Iltihāb al-Ghudda al-Rīqiyya
C-75,Waja‘ al-Asnān
C-76,Tazayyud al-Asnān
C-77,Taghayyur Lawn al-Asnān
C-78,Ṣarīr al-Asnān
C-79,Taḥarruk al-Asnān
C-80,Suqūṭ al-Asnān
C-81,Ta’akkul al-Asnān
C-82,Tafattut al-Asnān/ Takassur al-Asnān
C-83,Tanaqqub al-Asnān
C-84,Ḥikka al-Asnān
C-85,Ḍirs
C-86,Dhahāb Mā’ al-Asnān
