namaste_code,name
SK22(AAC-24),pakṣāghāta pakṣavadhaḥ
AAC-24.1,kaphānvitapakṣāghātaḥ
AAC-24.2,pittānvitapakṣāghātaḥ
AAC-24.3,bāla-pakṣāghātaḥ
AAC-25(SP9Y),pādadāhaḥ
AAC-26(SP9Y),pādaharṣaḥ
AAC-27(SM83),pratitūnī
AAC-28,pratyaṣṭhīlā
AAC-29,vraṇāyāmaḥ
SK21(AAC-30),paṅguḥ
SL21(AAC-31),minminaḥ
AAC-32,manyāstambhaḥ
SL07(AAC-33),mūkatvam
SP40(AAC-34),vātakaṇṭakam
SK51(AAC-35),viśvācī
SK52(AAC-36),kampaḥ
AAC-37,śirōgrahaḥ
AAC-38(SK22),sarvāṅgavātaḥ/ sarvāṅgarogaḥ
AAC-39(SL7Y),sirāgrahaḥ
AAC-40(SK5Y),hanugrahaḥ hanusraṃsa
SR20(AAD),āvaraṇa
AAD-1,anyōnyāvaraṇaḥ/paraspara-āvaraṇaḥ
AAD-1.1,prāṇāvr̥tavyānavātaḥ
AAD-1.2,vyānāvr̥taprāṇavātaḥ
AAD-1.3,prāṇāvr̥tasamānavātaḥ
AAD-1.4,samānāvr̥ta-apānavātaḥ
AAD-1.5,prāṇāvr̥ta-udānavātaḥ
AAD-1.6,udānāvr̥taprāṇavātaḥ
AAD-1.7,udānāvr̥ta-apānavātaḥ
AAD-1.8,apānāvr̥ta-udānavātaḥ
AAD-1.9,vyānāvr̥ta-apānavātaḥ
AAD-1.10,apānāvr̥ta-vyānavātaḥ
AAD-1.11,samānāvr̥ta-vyānavātaḥ
AAD-1.12,udānāvr̥tavyānavātaḥ
AAD-1.13,apānāvr̥tasamānavātaḥ
AAD-1.14,apānāvr̥ta-prāṇavātaḥ
AAD-1.15,prāṇāvr̥ta-apānavātaḥ
AAD-1.16,samānāvr̥taprāṇavātaḥ
AAD-1.17,samānāvr̥ta-udānavātaḥ
AAD-1.18,udānāvr̥tasamānavātaḥ
AAD-1.19,vyānāvr̥ta-udānavātaḥ
AAD-1.20,vyānāvr̥tasamānavātaḥ
AAD-2,dōṣāvr̥ta-vātaḥ
AAD-2.1(SR20),pittāvṛtavātaḥ
AAD-2.2(SR20),kaphāvṛtavātaḥ
AAD-2.3(SR20),pittāvṛtaprāṇavātaḥ
AAD-2.4(SR20),kaphāvṛtaprāṇavātaḥ
AAD-2.5(SR20),pittāvṛta-udānavātaḥ
AAD-2.6(SR20),kaphāvṛta-udānavātaḥ
AAD-2.7(SR20),pittāvṛta-samānavātaḥ
AAD-2.8(SR20),kaphāvṛtasamānavātaḥ
AAD-2.9(SR20),pittāvṛtavyānavātaḥ
AAD-2.10(SR20),kaphāvṛtavyānavātaḥ
AAD-2.11(SR20),pittāvṛta-apānavātaḥ
AAD-2.12(SR20),kaphāvṛta-apānavātaḥ
AAD-2.13,kaphapittāvr̥tavātaḥ
AAD-3,dhātvāvr̥tavātaḥ
AAD-3.1(SR20),raktāvṛtavātaḥ
AAD-3.2(SR20),māṃsāvṛtavātaḥ
AAD-3.3(SR20),medasāvṛtavātaḥ
AAD-3.4(SR20),asthyāvṛtavātaḥ
AAD-3.5(SR20),majjāvṛtavātaḥ
AAD-3.6(SR20),śukrāvṛtavātaḥ
AAD-3.7(SR20),sarvadhātvāvṛtavātaḥ
AAD-4(SR20),malāvṛtavātaḥ
AAD-4.1(SR20),mūtrāvṛtavātaḥ
AAD-4.2,varcasāvr̥tavātaḥ
AAD-5(SR20),annāvṛtavātaḥ
AAE,sthānaviśēṣa-kupitavātaḥ
AAE-1,kōṣṭhāśritavātakōpaḥ
AAE-2,sarvāṅgakupitavātaḥ
AAE-3,gudasthitavātaḥ
AAE-4,āmāśayagatavātaḥ
AAE-5,pakvāśayagatavātaḥ
AAE-6,śrōtrādīndriyagatavātaḥ
AAE-7,tvak^-gatavātaḥ
AAE-8,asr̥ggatavātaḥ/raktagatavāta
AAE-9,māṁsagatavātakōpa
AAE-10,mēdōgatavātaḥ
AAE-11,asthigatavātaḥ
AAE-12,majjāgatavātaḥ
AAE-13,śukragatavātaḥ
AAE-14,snāyugatavātaḥ
