namaste_code,name
BUA1.4,Tōḷtaṭippu
BUB,Azhal
BUB1.1,Tāpitam
BUB1.2,Tēmal
BUB1.3,Cilviṭa Taṭippu
BUB1.4,Mēkat Taẕumpu
BUB1.5,Taẕumpu
BUB1.6,Vērkkuru
BUB1.7,Vaẕukkai
BUB1.8,Pittaveṭippu
BV,Cilaippuṇ
BVA,Vaḷi
BVA1.1,Vaḷicilaippuṇ
BVA1.2,Eṉpucilaippuṇ
BVA1.3,Mukkuṟṟacilaippuṇ
BVB,Azhal
BVB1.1,Aẕalcilaippuṇ
BVC,Aiyam
BVC1.1,Aiyacilaippuṇ
BW,Puṇkaḷ
BWB,Azhal
BWB1.1,paṭukkaip Puṇ
BWB1.2,Puṇ
BWB1.3,Cēṟṟu Puṇ
BWB1.4,Tīp Puṇ
C,Tacai Maṟṟum Eṉpu Nōykaḷ
CA,Kīḷ Vāyu
CAA,Vaḷi
CAA1.2,Vaḷi Kīḷ Vāyu
CAA1.3,Vaḷi Aẕal Kīḷ Vāyu
CAA1.4,Vaḷi Aiya Kīḷ Vāyu
CAB,Aẕal
CAB1.1,Aẕal Kīḷ Vāyu
CAB1.2,Aẕal Vaḷi Kīḷ Vāyu
CAB1.3,Aẕal Aiya Kīḷ Vāyu
CAC,Aiyam
CAC,Aiya Kīḷ Vāyu
CAC,Aiya Vaḷi Kīḷ Vāyu
CAC,Aiya Aẕal Kīḷ Vāyu
CAD,Mukkuṟṟam
CAD1.1,Mukkuṟṟa Kīḷ Vāyu
D,Cuvācanōykaḷ
DA,Iraippu Nōy
DAA,Vaḷi
DAA1.1,Vaḷi Iraippu Nōy
DAA1.2,Mēl Nōkku Iraippu Nōy
DAC,Aiyam
DAC1.1,Aiya Iraippu Nōy
DAC1.2,Aiyavaḷi Iraippu Nōy
DAD,Mukkuṟṟam
DAD1.1,Mukkuṟṟa Iraippu Nōy
DB,Irumal Nōy
DBA,Vaḷi
DBA1.1,Vāta Irumal Nōy
DBA1.2,Vātapitta Irumal Nōy
DBA1.3,Cuvāca Irumal Nōy
DBB,Aẕal
DBB1.1,Pitta Irumal Nōy
DBB1.2,Pittakapa Irumal Nōy
DBB1.3,Rattakācam Irumal Nōy
DBC,Aiyam
DBC1.1,Pīṉica Irumal Nōy
DBC1.2,Kapa Irumal Nōy
DBC1.3,Mantarakācam Irumal Nōy
DBC1.4,Pakkamāntara Irumal Nōy
DBC1.5,Cuṭar Irumal Nōy
DBD,Mukkuṟṟam
DBD1.1,Mukkuṟṟa Irumal Nōy
DC,Kural Kammal
DCA,Vaḷi
DCA1.1,Vaḷi Kural Kammal
DCB,Aẕal
DCB1.1,Aẕal Kural Kammal
DCC,Aiyam
DCC1.1,Aiya Kural Kammal
DCC1.2,Iḷaippu Nōy Kural Kammal
DCC1.3,Niṇak Kural Kammal
DCD,Mukkuṟṟam
DCD1.1,Mukkuṟṟa Kural Kammal
DD,Mūkkaṭaippu Nōy
DDA,Vaḷi
DDA1.1,Vaḷi Mūkkaṭaippu Nōy
DDB,Aẕal
DDB1.1,Aẕal Mūkkaṭaippu Nōy
DDB1.2,Kuruti Mūkkaṭaippu
DDB1.3,Muḷai Mūkkaṭaippu Nōy
DDB1.4,Cīẕ Mūkkaṭaippu Nōy
DDC,Aiyam
DDC1.1,Aiya Mūkkaṭaippu Nōy
DDC1.2,Kaẕuttu Mūkkaṭaippu Nōy
DDC1.3,Nīr Mūkkaṭaippu Nōy
DDC1.4,Cirāy Mūkkaṭaippu Nōy
E,Uṇavuppātai Nōykaḷ
EA,Eruvāy Muḷai Nōy
EAA,Vaḷi
EAA1.1,Eruvāy Nīr Muḷai
EAA1.2,Eruvāyc Ceṇṭu Muḷai
EAA1.3,Eruvāy Perumuḷai
EAA1.4,Tamaraka Muḷai
EAA1.5,Vaḷi Muḷai
EAA1.6,Viṉai Muḷai
EAA1.7,Kaẕal Muḷai
EAA1.8,Aṭittaḷḷal
EAA1.9,Curukku Muḷai
EAB,Aẕal
EAB1.1,Aẕal Mūḷai
EAB1.2,Eruvāy Varal Muḷai
EAB1.3,Kuruti Muḷai
EAB1.4,Cīẕ Muḷai
EAB1.5,Mēka Muḷai
EAC,Aiyam
EAC1.1,Aiya Muḷai
EAC1.2,Eruvāy Ciṟu Muḷai
EAC1.3,Kuẕi Muḷai
EAC1.4,Veḷi Muḷai
EAC1.5,Cavvu Muḷai
EB,Kuṉmam
EBA,Vaḷi
EBA1.1,Vali Kuṉmam
EBA1.2,Vaḷi Kuṉmam
EBA1.3,Kāl Kuṉmam
EBB,Aẕal
EBB1.1,Aẕal Kuṉmam
EBB1.2,Ēṟi Kuṉmam
EBB1.3,Vānti Kuṉmam
EBC,Aiyam
EBC1.1,Aiya Kuṉmam
EBD,Mukkuṟṟam
EBD1.1,Mukkuṟṟa Kuṉmam
EC,Kaṭuppukkaẕiccal
ECB,Aẕal
ECB1.1,Kaṭuppukkaẕiccal
ED,Mānta Nōy
EDA,Vaḷi
EDA1.1,Kōl Mānta Nōy
EDB,Aẕal
EDB1.1,Nañcu Mānta Nōy
EDC,Aiyam
EDC1.1,Aiya Mānta Nōy
EE,Niṇak Kaẕiccal
EEA,Vaḷi
EEA1.1,Vaḷi Niṇak Kaẕiccal
EEA1.2,Oṭṭu Niṇak Kaẕiccal
EEA1.3,Kuṭaṟkāl Niṇak Kaẕiccal
EEA1.4,Kīẕ Vāyuk Kaẕiccal
EEB,Aẕal
EEB1.1,Aẕal Niṇak Kaẕiccal
EEB1.2,Aẕaṟkal Niṇak Kaẕiccal
EEB1.3,Ericcal Niṇak Kaẕiccal
EEB1.4,Cūl Niṇak Kaẕiccal
EEB1.5,Kuṉma Kaẕiccal
EEC,Aiyam
EEC1.1,Aiya Niṇak Kaẕiccal
EED,Mukkuṟṟam
EED1.1,Mukkuṟṟa Niṇak Kaẕiccal
EF,Peruṅ Kaẕiccal
EFA,Vaḷi
EFA1.1,Vaḷipperuṅ Kaẕiccal
EFA1.2,Curapperuṅ Kaẕiccal
EFB,Aẕal
EFB1.1,Aẕal Peruṅ Kaẕiccal
EFB1.2,Kuruti Peruṅ Kaẕiccal
EFB1.3,Payam Peruṅ Kaẕiccal
EFB1.4,Thoda Peruṅ Kaẕiccal
EFC,Aiyam
EFC1.1,Aiya Peruṅ Kaẕiccal
EFD,Mukkuṟṟam
EFD1.1,Mukkuṟṟa Peruṅ Kaẕiccal
EG,Ceriyāmai
EGA,Vaḷi
EGA1.1,Vaḷi Ceriyāmai
EGB,Aẕal
EGB1.1,Aẕal Ceriyāmai
EGC,Aiyam
EGC1.1,Aiya Ceriyāmai
EGD,Mukkuṟṟam
EGD1.1,Mukkuṟṟa Cuvaiyiṉmai Nōy
EH,Cuvaiyiṉmai Nōy
EHA,Vaḷi
EHA1.1,Vaḷi Cuvaiyiṉmai Nōy
EHB,Aẕal
EHB1.1,Aẕal Cuvaiyiṉmai Nōy
EHB1.2,Maṉa Cuvaiyiṉmai Nōy
EHC,Aiyam
EHC1.1,Aiya Cuvaiyiṉmai Nōy
EHD,Mukkuṟṟam
EHD1.1,Mukkuṟṟacuvaiyiṉmai Nōy
EI,Vānti
EIA,Vaḷi
EIA1.1,Vaḷi Vānti
EIB,Aẕal
EIB1.1,Eru Vānti
EIB1.2,Aẕal Vānti
EIB1.3,Kaṇṇēṟu Vānti
EIB1.4,Kuruti Vānti
EIB1.5,Veṟuppu Vānti
EIB1.6,Puẕu Vānti
EIB1.7,Cūl Vānti
EIC,Aiyam
EIC1.1,Aiya Vānti
EID,Mukkuṟṟam
EID1.1,Mukkuṟṟa Vānti
EJ,Vikkal Nōy
EJA,Vaḷi
EJA1.1,Vaḷi Vikkal Nōy
EJB,Aẕal
EJB1.1,Aẕal Vikkal Nōy
EJC,Aiyam
EJC1.1,Aiyavikkal Mūḷai
EJC1.2,Ceṟiya Vikkal Nōy
EJD,Mukkuṟṟam
EJD1.1,Mukkuṟṟa Vikkal Nōy
F,Narampu Nōykaḷ
FA,Caṉṉi Nōy
FAD,Mukkuṟṟam
FAD1.1,Cantika Caṉṉi
FAD1.2,Antaka Caṉṉi
FAD1.3,Ruttāka Caṉṉi
FAD1.4,Citta Viprama Caṉṉi
FAD1.5,Cītāṅka Caṉṉi
FAD1.6,Tāntarika Caṉṉi
FAD1.7,Kaṇṭakupca Caṉṉi
FAD1.8,Karṇika Caṉṉi
FAD1.9,Pukṉanēttira Caṉṉi
FAD1.10,Raktaṣṭīvi Caṉṉi
FAD1.11,Piralāpa Caṉṉi
FAD1.12,Cimmaka Caṉṉi
FAD1.13,Apiniyāca Caṉṉi
FB,Vaḷippu
FBD,Mukkuṟṟam
FBD1.1,Muppiṇi Valippu
FBD1.2,Kutirai Valippu
FBD1.3,Kuraṅkuvalippu
FBD1.4,Kākkai Valippu
FBD1.5,Muyal Valippu
FBD1.6,Timir Valippu
FBD1.7,Kūṉ Valippu
FBD1.8,Koṭiya Valippu
FBD1.9,Maraṇa Valippu
FBD1.10,Maṉō Valippu
FBD1.11,Nañcu Valippu
FBD1.12,Mukkuṟṟa Valippu
FBD1.13,Aiya Valippu
FBD1.14,Vil Valippu
FBD1.15,Cura Valippu
FBD1.16,Vikkal Valippu
FBD1.17,Talai Valippu
FBD1.18,Kōẕai Valippu
FBD1.19,Ōṭu Valippu
FBD1.20,Mārpu Valippu
FBD1.21,Tamaraka Valippu
G,Makaḷir Nōykaḷ
GA,Tāpitam
GAA,Aẕal
GAA1.1,Ciṉaippai Tāpitam
GAA1.2,Akal Tāpitam
GAA1.3,Yōṉi Tāpitam
GAA1.4,Yōṉi-Akal Tāpitam
GAA1.5,Kaẕuntu Tāpitam
GAA1.6,Karuppai Uḷkavaca Tāpitam
GB,Cūtaka Taṭai
GBA,Vaḷi
GBA1.1,Kukarāṉa Mey Cūtaka Taṭai
GBA1.2,Pōli Cūtaka Taṭai
GC,Cūtaka Vaḷi
GCA,Vaḷi
